id	coursemoduleid	userid	completionstate	viewed	overrideby	timemodified
141	74	1443	1	0	NULL	1652967556
142	51	1443	1	0	NULL	1652967562
143	75	1443	1	0	NULL	1652967563
144	76	1443	1	0	NULL	1652967564
145	77	1443	1	0	NULL	1652967565
146	53	35598	1	0	NULL	1652967565
147	52	1443	1	0	NULL	1652967566
148	78	1443	1	0	NULL	1652967566
149	53	1443	1	0	NULL	1652967568
150	79	1443	1	0	NULL	1652967573
151	189	1443	1	0	NULL	1652968246
152	189	35598	1	0	NULL	1652968390
153	189	30757	1	0	NULL	1652973660
154	189	35798	0	0	NULL	1653730161
155	189	36031	1	0	NULL	1653052528
156	189	36058	1	0	NULL	1653053938
157	173	15479	1	0	NULL	1653055313
158	189	35304	0	0	NULL	1653058896
159	189	36052	0	0	NULL	1653102245
160	189	36161	1	0	NULL	1653120871
161	189	36150	1	0	NULL	1653124862
162	189	30534	1	0	NULL	1655370104
163	173	361	1	0	NULL	1653134971
164	189	36268	1	0	NULL	1653136245
165	189	36373	1	0	NULL	1653215845
166	29	11208	1	0	NULL	1653227228
167	30	11208	1	0	NULL	1653228039
168	32	11208	1	0	NULL	1653228433
169	31	11208	1	0	NULL	1653228441
170	74	11208	1	0	NULL	1653228899
171	33	11208	1	0	NULL	1653229074
172	69	11208	1	0	NULL	1653229076
173	70	11208	1	0	NULL	1653229077
174	71	11208	1	0	NULL	1653229079
175	50	11208	1	0	NULL	1653229080
176	73	11208	1	0	NULL	1653229701
177	72	11208	1	0	NULL	1653229702
178	173	11208	1	0	NULL	1653229769
179	193	11208	1	0	NULL	1653229876
180	189	36350	1	0	NULL	1653284083
181	189	36419	1	0	NULL	1653361890
182	189	36541	1	0	NULL	1653573717
183	189	36607	0	0	NULL	1653486178
184	189	36611	1	0	NULL	1656574146
185	189	35741	1	0	NULL	1653546229
186	189	33430	1	0	NULL	1653565479
187	189	29840	1	0	NULL	1653569966
188	30	23129	1	0	NULL	1653571804
189	189	31390	0	0	NULL	1653623136
190	29	369	1	0	NULL	1653635633
191	126	369	1	0	NULL	1653635645
192	125	369	1	0	NULL	1653635647
193	127	369	1	0	NULL	1653635649
194	129	369	1	0	NULL	1653635653
195	128	369	1	0	NULL	1653635656
196	194	369	1	0	NULL	1653635657
197	195	369	1	0	NULL	1653635659
198	123	369	1	0	NULL	1653635664
199	124	369	1	0	NULL	1653635666
200	29	23129	1	0	NULL	1653665800
201	189	36054	0	0	NULL	1653714508
202	189	36759	1	0	NULL	1653735865
203	189	36777	1	0	NULL	1653803014
204	189	32767	1	0	NULL	1653820954
205	189	36670	1	0	NULL	1653823700
206	189	27932	1	0	NULL	1653974289
207	189	36859	1	0	NULL	1654057558
208	189	30263	1	0	NULL	1654062585
209	189	31989	1	0	NULL	1654077248
210	189	36988	1	0	NULL	1654080014
211	189	36888	1	0	NULL	1655188914
212	189	30526	1	0	NULL	1654094791
213	189	36659	1	0	NULL	1654137750
214	189	36920	0	0	NULL	1656066942
215	189	35424	1	0	NULL	1654155791
216	63	13996	1	0	NULL	1654185858
217	65	13996	1	0	NULL	1654185903
218	64	13996	1	0	NULL	1654185905
219	62	13996	1	0	NULL	1654185907
220	61	13996	1	0	NULL	1654185909
221	60	13996	1	0	NULL	1654185912
222	59	13996	1	0	NULL	1654185913
223	58	13996	1	0	NULL	1654185915
224	57	13996	1	0	NULL	1654185916
225	83	13996	1	0	NULL	1654185918
226	56	13996	1	0	NULL	1654185919
227	82	13996	1	0	NULL	1654185920
228	55	13996	1	0	NULL	1654185921
229	81	13996	1	0	NULL	1654185921
230	54	13996	1	0	NULL	1654185924
231	80	13996	1	0	NULL	1654185927
232	53	13996	1	0	NULL	1654185928
233	79	13996	1	0	NULL	1654185929
234	78	13996	1	0	NULL	1654185931
235	52	13996	1	0	NULL	1654185931
236	77	13996	1	0	NULL	1654185932
237	76	13996	1	0	NULL	1654185933
238	75	13996	1	0	NULL	1654185934
239	51	13996	1	0	NULL	1654185934
240	72	13996	1	0	NULL	1654185935
241	73	13996	1	0	NULL	1654185936
242	74	13996	1	0	NULL	1654185938
243	50	13996	1	0	NULL	1654185939
244	71	13996	1	0	NULL	1654185940
245	70	13996	1	0	NULL	1654185941
246	69	13996	1	0	NULL	1654185942
247	33	13996	1	0	NULL	1654185943
248	32	13996	1	0	NULL	1654185945
249	31	13996	1	0	NULL	1654185945
250	30	13996	1	0	NULL	1654185946
251	29	13996	1	0	NULL	1654185947
252	84	13996	1	0	NULL	1654186079
253	85	13996	1	0	NULL	1654186082
254	86	13996	1	0	NULL	1654186083
255	87	13996	1	0	NULL	1654186084
256	88	13996	1	0	NULL	1654186086
257	89	13996	1	0	NULL	1654186087
258	90	13996	1	0	NULL	1654186088
259	91	13996	1	0	NULL	1654186089
260	92	13996	1	0	NULL	1654186091
261	93	13996	1	0	NULL	1654186092
262	94	13996	1	0	NULL	1654186095
263	95	13996	1	0	NULL	1654186096
264	96	13996	1	0	NULL	1654186097
265	97	13996	1	0	NULL	1654186098
266	98	13996	1	0	NULL	1654186100
267	99	13996	1	0	NULL	1654186101
268	100	13996	1	0	NULL	1654186102
269	101	13996	1	0	NULL	1654186103
270	102	13996	1	0	NULL	1654186104
271	103	13996	1	0	NULL	1654186105
272	104	13996	1	0	NULL	1654186106
273	105	13996	1	0	NULL	1654186107
274	106	13996	1	0	NULL	1654186109
275	107	13996	1	0	NULL	1654186109
276	108	13996	1	0	NULL	1654186111
277	109	13996	1	0	NULL	1654186113
278	110	13996	1	0	NULL	1654186114
279	111	13996	1	0	NULL	1654186116
280	112	13996	1	0	NULL	1654186117
281	113	13996	1	0	NULL	1654186118
282	114	13996	1	0	NULL	1654186119
283	115	13996	1	0	NULL	1654186120
284	116	13996	1	0	NULL	1654186122
285	117	13996	1	0	NULL	1654186123
286	118	13996	1	0	NULL	1654186124
287	119	13996	1	0	NULL	1654186127
288	120	13996	1	0	NULL	1654186129
289	121	13996	1	0	NULL	1654186130
290	122	13996	1	0	NULL	1654186131
291	123	13996	1	0	NULL	1654186133
292	124	13996	1	0	NULL	1654186134
293	125	13996	1	0	NULL	1654186134
294	126	13996	1	0	NULL	1654186135
295	128	13996	1	0	NULL	1654186137
296	127	13996	1	0	NULL	1654186137
297	129	13996	1	0	NULL	1654186138
298	194	13996	1	0	NULL	1654186139
299	195	13996	1	0	NULL	1654186141
300	173	13996	1	0	NULL	1654186162
301	193	13996	1	0	NULL	1654186164
302	189	36909	1	0	NULL	1654263627
303	189	37065	0	0	NULL	1654268221
304	189	64	0	0	NULL	1655730173
305	189	37066	1	0	NULL	1654338453
306	189	37089	1	0	NULL	1654412573
307	189	35329	1	0	NULL	1654416462
308	189	35850	1	0	NULL	1654422444
309	189	35680	1	0	NULL	1654493947
310	189	29978	1	0	NULL	1654442585
311	189	36469	0	0	NULL	1654443239
312	189	37110	1	0	NULL	1654485838
313	189	36745	1	0	NULL	1654485948
314	189	37121	1	0	NULL	1654495691
315	189	36841	1	0	NULL	1654496360
316	189	36782	0	0	NULL	1654507483
317	189	32481	1	0	NULL	1656142086
318	189	36605	1	0	NULL	1654607324
319	189	36160	1	0	NULL	1654522441
320	189	37057	1	0	NULL	1654523591
321	189	34593	1	0	NULL	1654524134
322	189	37146	1	0	NULL	1654532885
323	189	36057	1	0	NULL	1654536290
324	189	35988	1	0	NULL	1654568576
325	189	37050	0	0	NULL	1662625117
326	190	14129	1	0	NULL	1654580229
327	189	37098	1	0	NULL	1654580861
328	189	36287	1	0	NULL	1654589090
329	36	66	0	0	NULL	1654681544
330	189	37003	0	0	NULL	1654677104
331	189	37102	1	0	NULL	1654746597
332	189	35729	1	0	NULL	1654763426
333	189	35384	1	0	NULL	1654784248
334	133	35384	1	0	NULL	1654784285
335	134	35384	1	0	NULL	1654784287
336	189	37218	1	0	NULL	1654792833
337	189	36372	1	0	NULL	1654850838
338	189	36702	0	0	NULL	1655707283
339	189	35566	1	0	NULL	1654872370
340	189	37244	1	0	NULL	1654918885
341	189	32271	0	0	NULL	1654939182
342	189	37255	1	0	NULL	1654946255
343	189	37279	1	0	NULL	1655036353
344	189	36863	1	0	NULL	1655232394
345	29	28067	0	0	NULL	1655539899
346	30	28067	1	0	NULL	1655123383
347	31	28067	1	0	NULL	1655123384
348	32	28067	1	0	NULL	1655123386
349	33	28067	1	0	NULL	1655123388
350	69	28067	1	0	NULL	1655123390
351	70	28067	1	0	NULL	1655123391
352	71	28067	1	0	NULL	1655123392
353	50	28067	1	0	NULL	1655123393
354	72	28067	1	0	NULL	1655123395
355	73	28067	1	0	NULL	1655123396
356	74	28067	1	0	NULL	1655123396
357	51	28067	1	0	NULL	1655123397
358	75	28067	1	0	NULL	1655123399
359	76	28067	1	0	NULL	1655123399
360	77	28067	1	0	NULL	1655123400
361	52	28067	1	0	NULL	1655123400
362	78	28067	1	0	NULL	1655123402
363	79	28067	1	0	NULL	1655123402
364	53	28067	1	0	NULL	1655123403
365	80	28067	1	0	NULL	1655123403
366	54	28067	1	0	NULL	1655123404
367	81	28067	1	0	NULL	1655123406
368	55	28067	1	0	NULL	1655123406
369	82	28067	1	0	NULL	1655123406
370	56	28067	1	0	NULL	1655123407
371	83	28067	1	0	NULL	1655123408
372	57	28067	1	0	NULL	1655123409
373	58	28067	1	0	NULL	1655123409
374	59	28067	1	0	NULL	1655123409
375	60	28067	1	0	NULL	1655123410
376	61	28067	1	0	NULL	1655123411
377	62	28067	1	0	NULL	1655123411
378	63	28067	1	0	NULL	1655123412
379	64	28067	1	0	NULL	1655123412
380	65	28067	1	0	NULL	1655123413
381	84	28067	1	0	NULL	1655123415
382	85	28067	1	0	NULL	1655123415
383	86	28067	1	0	NULL	1655123416
384	87	28067	1	0	NULL	1655123416
385	88	28067	1	0	NULL	1655123416
386	89	28067	1	0	NULL	1655123418
387	90	28067	1	0	NULL	1655123418
388	91	28067	1	0	NULL	1655123419
389	92	28067	1	0	NULL	1655123419
390	94	28067	1	0	NULL	1655123421
391	95	28067	1	0	NULL	1655123422
392	96	28067	1	0	NULL	1655123422
393	97	28067	1	0	NULL	1655123423
394	99	28067	1	0	NULL	1655123425
395	93	28067	1	0	NULL	1655123426
396	98	28067	1	0	NULL	1655123432
397	100	28067	1	0	NULL	1655123433
398	101	28067	1	0	NULL	1655123436
399	102	28067	1	0	NULL	1655123436
400	103	28067	1	0	NULL	1655123437
401	104	28067	1	0	NULL	1655123439
402	105	28067	1	0	NULL	1655123439
403	106	28067	1	0	NULL	1655123440
404	107	28067	1	0	NULL	1655123441
405	108	28067	1	0	NULL	1655123442
406	109	28067	1	0	NULL	1655123443
407	110	28067	1	0	NULL	1655123443
408	111	28067	1	0	NULL	1655123444
409	112	28067	1	0	NULL	1655123446
410	113	28067	1	0	NULL	1655123447
411	114	28067	1	0	NULL	1655123448
412	115	28067	1	0	NULL	1655123449
413	116	28067	1	0	NULL	1655123450
414	117	28067	1	0	NULL	1655123450
415	118	28067	1	0	NULL	1655123450
416	119	28067	1	0	NULL	1655123451
417	120	28067	1	0	NULL	1655123453
418	121	28067	1	0	NULL	1655123453
419	122	28067	1	0	NULL	1655123453
420	123	28067	1	0	NULL	1655123454
421	124	28067	1	0	NULL	1655123455
422	125	28067	1	0	NULL	1655123456
423	126	28067	1	0	NULL	1655123457
424	127	28067	1	0	NULL	1655123457
425	128	28067	1	0	NULL	1655123458
426	129	28067	1	0	NULL	1655123458
427	194	28067	1	0	NULL	1655123458
428	195	28067	1	0	NULL	1655123460
429	173	28067	1	0	NULL	1655123932
430	189	37296	1	0	NULL	1655126936
431	189	37285	1	0	NULL	1655127523
432	189	37348	1	0	NULL	1655203600
433	45	37325	1	0	NULL	1655206188
434	261	37325	1	0	NULL	1655206415
435	266	37325	1	0	NULL	1655206447
436	189	36864	1	0	NULL	1655269593
437	262	37325	1	0	NULL	1655278948
438	173	66	1	0	NULL	1655287491
439	189	37369	1	0	NULL	1655290158
440	189	37372	1	0	NULL	1655292434
441	189	36707	1	0	NULL	1655298975
442	189	37008	1	0	NULL	1655356012
443	264	37325	1	0	NULL	1655361459
444	189	35540	1	0	NULL	1655370882
445	189	37399	1	0	NULL	1655372142
446	189	36389	1	0	NULL	1655372285
447	189	30779	1	0	NULL	1655378628
448	189	37114	1	0	NULL	1655387362
449	189	37258	1	0	NULL	1655463714
450	189	36005	1	0	NULL	1655465896
451	189	36789	0	0	NULL	1655471482
452	189	33855	1	0	NULL	1655481498
453	189	37420	0	0	NULL	1655484833
454	189	36079	1	0	NULL	1655521214
455	189	35954	1	0	NULL	1655711000
456	189	37435	1	0	NULL	1655534703
457	189	37447	1	0	NULL	1655552834
458	173	3442	1	0	NULL	1655570546
459	193	3442	0	0	NULL	1658547495
460	29	3442	1	0	NULL	1655570575
461	30	3442	1	0	NULL	1655570576
462	31	3442	1	0	NULL	1655570576
463	32	3442	1	0	NULL	1655570577
464	33	3442	1	0	NULL	1655570578
465	69	3442	1	0	NULL	1655570579
466	70	3442	1	0	NULL	1655570579
467	71	3442	1	0	NULL	1655570581
468	50	3442	1	0	NULL	1655570581
469	72	3442	1	0	NULL	1655570582
470	73	3442	1	0	NULL	1655570582
471	74	3442	1	0	NULL	1655570583
472	51	3442	1	0	NULL	1655570584
473	75	3442	1	0	NULL	1655570585
474	76	3442	1	0	NULL	1655570585
475	77	3442	1	0	NULL	1655570586
476	52	3442	1	0	NULL	1655570587
477	78	3442	1	0	NULL	1655570587
478	79	3442	1	0	NULL	1655570588
479	53	3442	1	0	NULL	1655570588
480	80	3442	1	0	NULL	1655570590
481	54	3442	1	0	NULL	1655570590
482	81	3442	1	0	NULL	1655570591
483	55	3442	1	0	NULL	1655570591
484	82	3442	1	0	NULL	1655570592
485	56	3442	1	0	NULL	1655570593
486	83	3442	1	0	NULL	1655570594
487	57	3442	1	0	NULL	1655570659
488	58	3442	1	0	NULL	1655570659
489	59	3442	1	0	NULL	1655570660
490	60	3442	1	0	NULL	1655570660
491	61	3442	1	0	NULL	1655570661
492	62	3442	1	0	NULL	1655570662
493	63	3442	1	0	NULL	1655570662
494	64	3442	1	0	NULL	1655570663
495	65	3442	1	0	NULL	1655570664
496	189	37411	1	0	NULL	1655635083
497	189	37269	0	0	NULL	1655642142
498	189	33576	1	0	NULL	1655712117
499	189	35696	0	0	NULL	1655731316
500	189	37476	1	0	NULL	1655732587
501	189	37478	1	0	NULL	1655737085
502	189	37482	1	0	NULL	1655750578
503	189	37484	0	0	NULL	1655871187
504	189	32774	1	0	NULL	1655805109
505	189	37493	1	0	NULL	1655813830
506	29	28062	0	0	NULL	1655815533
507	30	28062	1	0	NULL	1655815643
508	69	28062	1	0	NULL	1655815749
509	78	28062	1	0	NULL	1655815859
510	75	28062	1	0	NULL	1655815933
511	82	28062	1	0	NULL	1655816010
512	189	37281	1	0	NULL	1655816707
513	189	36316	1	0	NULL	1655826383
514	189	37022	1	0	NULL	1655827505
515	189	36088	1	0	NULL	1656486931
516	189	37515	1	0	NULL	1655920737
517	189	35970	1	0	NULL	1655955944
518	189	37409	1	0	NULL	1655960702
519	189	37500	1	0	NULL	1655970579
520	189	37467	1	0	NULL	1655989854
521	189	36471	1	0	NULL	1655994557
522	189	37540	0	0	NULL	1656041182
523	189	37559	1	0	NULL	1656138454
524	189	37573	0	0	NULL	1656170319
525	189	37577	1	0	NULL	1656210932
526	189	34632	1	0	NULL	1656215933
527	189	36444	1	0	NULL	1656228588
528	189	35646	0	0	NULL	1656252479
529	189	37588	0	0	NULL	1656255192
530	190	2907	1	0	NULL	1656257860
531	230	2907	1	0	NULL	1656257867
532	231	2907	1	0	NULL	1656257869
533	232	2907	1	0	NULL	1656257870
534	233	2907	1	0	NULL	1656257871
535	234	2907	1	0	NULL	1656257871
536	235	2907	1	0	NULL	1656257873
537	236	2907	1	0	NULL	1656257879
538	191	2907	1	0	NULL	1656257880
539	29	2907	1	0	NULL	1656257897
540	30	2907	1	0	NULL	1656257897
541	31	2907	1	0	NULL	1656257897
542	32	2907	1	0	NULL	1656257898
543	33	2907	1	0	NULL	1656257901
544	69	2907	1	0	NULL	1656257901
545	71	2907	1	0	NULL	1656257902
546	70	2907	1	0	NULL	1656257909
547	50	2907	1	0	NULL	1656257923
548	72	2907	1	0	NULL	1656257924
549	73	2907	1	0	NULL	1656257924
550	74	2907	1	0	NULL	1656257925
551	51	2907	1	0	NULL	1656257926
552	75	2907	1	0	NULL	1656257926
553	76	2907	1	0	NULL	1656257929
554	77	2907	1	0	NULL	1656257942
555	52	2907	1	0	NULL	1656257943
556	78	2907	1	0	NULL	1656257945
557	79	2907	1	0	NULL	1656257946
558	53	2907	1	0	NULL	1656257948
559	80	2907	1	0	NULL	1656257949
560	54	2907	1	0	NULL	1656257950
561	81	2907	1	0	NULL	1656257951
562	55	2907	1	0	NULL	1656257952
563	82	2907	1	0	NULL	1656257952
564	56	2907	1	0	NULL	1656257953
565	83	2907	1	0	NULL	1656257954
566	57	2907	1	0	NULL	1656257955
567	58	2907	1	0	NULL	1656257955
568	59	2907	1	0	NULL	1656257974
569	60	2907	1	0	NULL	1656257975
570	61	2907	1	0	NULL	1656257976
571	62	2907	1	0	NULL	1656257977
572	63	2907	1	0	NULL	1656257979
573	64	2907	1	0	NULL	1656257980
574	65	2907	1	0	NULL	1656257982
575	84	2907	1	0	NULL	1656257983
576	85	2907	1	0	NULL	1656257983
577	86	2907	1	0	NULL	1656257984
578	87	2907	1	0	NULL	1656257986
579	88	2907	1	0	NULL	1656257987
580	89	2907	1	0	NULL	1656257987
581	90	2907	1	0	NULL	1656257988
582	91	2907	1	0	NULL	1656257989
583	92	2907	1	0	NULL	1656257990
584	93	2907	1	0	NULL	1656257990
585	94	2907	1	0	NULL	1656257992
586	95	2907	1	0	NULL	1656257992
587	96	2907	1	0	NULL	1656257993
588	97	2907	1	0	NULL	1656257993
589	100	2907	1	0	NULL	1656257995
590	99	2907	1	0	NULL	1656257996
591	98	2907	1	0	NULL	1656257996
592	101	2907	1	0	NULL	1656257997
593	195	2907	1	0	NULL	1656258001
594	194	2907	1	0	NULL	1656258002
595	129	2907	1	0	NULL	1656258002
596	128	2907	1	0	NULL	1656258003
597	127	2907	1	0	NULL	1656258004
598	126	2907	1	0	NULL	1656258004
599	125	2907	1	0	NULL	1656258006
600	124	2907	1	0	NULL	1656258007
601	123	2907	1	0	NULL	1656258008
602	122	2907	1	0	NULL	1656258009
603	121	2907	1	0	NULL	1656258009
604	120	2907	1	0	NULL	1656258010
605	119	2907	1	0	NULL	1656258010
606	118	2907	1	0	NULL	1656258012
607	117	2907	1	0	NULL	1656258012
608	116	2907	1	0	NULL	1656258013
609	115	2907	1	0	NULL	1656258014
610	114	2907	1	0	NULL	1656258015
611	113	2907	1	0	NULL	1656258019
612	112	2907	1	0	NULL	1656258020
613	111	2907	1	0	NULL	1656258020
614	110	2907	1	0	NULL	1656258021
615	109	2907	1	0	NULL	1656258023
616	108	2907	1	0	NULL	1656258023
617	107	2907	1	0	NULL	1656258024
618	106	2907	1	0	NULL	1656258025
619	105	2907	1	0	NULL	1656258026
620	104	2907	1	0	NULL	1656258026
621	103	2907	1	0	NULL	1656258028
622	102	2907	1	0	NULL	1656258029
623	189	2907	1	0	NULL	1656258087
624	173	2907	1	0	NULL	1656258562
625	193	2907	1	0	NULL	1656258563
626	189	37605	1	0	NULL	1656304746
627	189	30507	1	0	NULL	1656322328
628	189	34662	1	0	NULL	1656328187
629	189	32930	1	0	NULL	1656420017
630	189	37553	1	0	NULL	1656427895
631	189	30767	1	0	NULL	1656434431
632	189	37677	1	0	NULL	1656493462
633	189	37628	1	0	NULL	1656501010
634	189	37670	1	0	NULL	1658408094
635	189	31376	1	0	NULL	1656504263
636	189	37686	1	0	NULL	1656504963
637	189	37603	1	0	NULL	1656518688
638	189	37675	1	0	NULL	1656563075
639	189	37624	1	0	NULL	1656574232
640	189	37138	1	0	NULL	1656579149
641	189	37712	1	0	NULL	1656579495
642	189	37715	1	0	NULL	1656579584
643	189	37718	0	0	NULL	1656584239
644	189	37637	1	0	NULL	1656584310
645	189	37723	1	0	NULL	1656590810
646	189	33193	0	0	NULL	1656592176
647	189	37725	1	0	NULL	1656593017
648	189	37730	1	0	NULL	1656594629
649	189	37434	1	0	NULL	1659025623
650	189	37635	0	0	NULL	1656602669
651	189	35965	1	0	NULL	1656639744
652	189	37749	1	0	NULL	1656665677
653	189	32861	1	0	NULL	1656669642
654	189	35834	1	0	NULL	1656674991
655	189	37753	1	0	NULL	1656677149
656	189	37711	1	0	NULL	1656684085
657	189	37615	1	0	NULL	1656762167
658	189	36464	1	0	NULL	1656762483
659	189	37780	1	0	NULL	1656764185
660	189	37754	1	0	NULL	1656764942
661	189	37700	1	0	NULL	1656775510
662	189	36662	1	0	NULL	1656780975
663	189	37509	1	0	NULL	1656824950
664	189	36846	1	0	NULL	1656828820
665	189	37788	1	0	NULL	1656834017
666	189	37800	1	0	NULL	1656852818
667	189	37673	1	0	NULL	1656854245
668	189	37103	1	0	NULL	1656866530
669	189	37238	1	0	NULL	1658486706
670	189	36018	1	0	NULL	1657103955
671	189	37824	1	0	NULL	1657246537
672	189	37826	1	0	NULL	1657247720
673	189	37840	1	0	NULL	1657476542
674	189	33443	1	0	NULL	1659016879
675	189	37848	1	0	NULL	1658154658
676	173	31029	1	0	NULL	1658201435
677	193	31029	1	0	NULL	1658201437
678	273	31029	1	0	NULL	1658201439
679	189	31029	1	0	NULL	1658201446
680	272	31029	1	0	NULL	1658201447
681	189	37205	1	0	NULL	1658326239
682	189	37882	1	0	NULL	1658311681
683	29	37882	1	0	NULL	1658311382
684	30	37882	1	0	NULL	1658311383
685	31	37882	1	0	NULL	1658311385
686	32	37882	1	0	NULL	1658311386
687	33	37882	1	0	NULL	1658311388
688	69	37882	1	0	NULL	1658311390
689	70	37882	1	0	NULL	1658311392
690	71	37882	1	0	NULL	1658311393
691	50	37882	1	0	NULL	1658311395
692	195	37882	1	0	NULL	1658311403
693	194	37882	1	0	NULL	1658311403
694	129	37882	1	0	NULL	1658311403
695	128	37882	1	0	NULL	1658311404
696	127	37882	1	0	NULL	1658311404
697	126	37882	1	0	NULL	1658311404
698	124	37882	1	0	NULL	1658311407
699	123	37882	1	0	NULL	1658311407
