id,status,enrolid,userid,timestart,timeend,modifierid,timecreated,timemodified
1,0,43,2,1644061699,0,2,1644061785,1644061785
19,0,40,2,1644561199,0,2,1644561257,1644561257
20,0,40,64,0,2147483647,6,0,0
21,0,40,6,0,2147483647,6,0,0
22,0,43,64,0,2147483647,6,0,0
23,0,43,6,0,2147483647,6,0,0
24,0,40,67,0,2147483647,66,0,0
25,0,40,66,0,2147483647,66,0,0
26,0,43,67,0,2147483647,66,0,0
27,0,43,66,0,2147483647,66,0,0
28,0,43,69,0,2147483647,68,0,0
29,0,43,68,0,2147483647,68,0,0
30,0,40,69,0,2147483647,68,0,0
31,0,40,68,0,2147483647,68,0,0
32,0,40,70,0,2147483647,65,0,0
33,0,40,65,0,2147483647,65,0,0
34,0,40,73,0,2147483647,6,0,0
35,0,43,70,0,2147483647,65,0,0
36,0,43,65,0,2147483647,65,0,0
37,0,40,28853,0,2147483647,28852,0,0
38,0,40,28852,0,2147483647,28852,0,0
39,0,43,28853,0,2147483647,28852,0,0
40,0,43,28852,0,2147483647,28852,0,0
41,0,139,28853,0,2147483647,28852,0,0
42,0,139,28852,0,2147483647,28852,0,0
43,0,139,69,0,2147483647,68,0,0
44,0,139,68,0,2147483647,68,0,0
45,0,181,69,0,2147483647,68,0,0
46,0,181,68,0,2147483647,68,0,0
47,0,40,29227,0,2147483647,6,0,0
48,0,43,29227,0,2147483647,6,0,0
49,0,139,29227,0,2147483647,6,0,0
50,0,139,6,0,2147483647,6,0,0
51,0,43,71,0,2147483647,6,0,0
52,0,43,29228,0,2147483647,23636,0,0
53,0,43,23636,0,2147483647,23636,0,0
54,0,46,29233,0,2147483647,15826,0,0
55,0,46,15826,0,2147483647,15826,0,0
56,0,43,29233,0,2147483647,15826,0,0
57,0,43,15826,0,2147483647,15826,0,0
58,0,43,29234,0,2147483647,15865,0,0
59,0,43,15865,0,2147483647,15865,0,0
60,0,46,29236,0,2147483647,15459,0,0
61,0,46,15459,0,2147483647,15459,0,0
62,0,40,29241,0,2147483647,15479,0,0
63,0,40,15479,0,2147483647,15479,0,0
64,0,43,29245,0,2147483647,15464,0,0
65,0,43,15464,0,2147483647,15464,0,0
66,0,43,29244,0,2147483647,17004,0,0
67,0,43,17004,0,2147483647,17004,0,0
68,0,40,29246,0,2147483647,15982,0,0
69,0,40,15982,0,2147483647,15982,0,0
