id,learner_userid,course_cat_id,course_id,module_id,activity_id,active,type,timecreated,timemodified
70,29355,17,17,0,0,1,learning,"2022-05-05 07:24:26","2022-05-05 07:24:26"
71,29359,17,17,0,0,1,learning,"2022-05-05 07:24:46","2022-05-05 07:24:46"
72,29358,17,17,0,0,1,learning,"2022-05-05 07:27:01","2022-05-05 07:27:01"
73,29367,17,16,0,0,1,learning,"2022-05-05 07:27:57","2022-05-05 07:27:57"
74,29361,17,17,0,0,1,learning,"2022-05-05 07:28:00","2022-05-05 07:28:00"
75,29380,17,17,0,0,1,learning,"2022-05-05 07:30:30","2022-05-05 07:30:30"
76,29355,17,17,0,0,1,learning,"2022-05-05 07:31:16","2022-05-05 07:31:16"
77,29383,17,17,0,0,1,learning,"2022-05-05 07:32:03","2022-05-05 07:32:03"
78,29387,17,17,0,0,1,learning,"2022-05-05 07:34:03","2022-05-05 07:34:03"
79,29394,17,16,0,0,1,learning,"2022-05-05 07:34:44","2022-05-05 07:34:44"
80,29381,17,17,0,0,1,learning,"2022-05-05 07:38:14","2022-05-05 07:38:14"
81,29386,17,17,0,0,1,learning,"2022-05-05 07:38:44","2022-05-05 07:38:44"
82,29410,17,16,0,0,1,learning,"2022-05-05 07:39:26","2022-05-05 07:39:26"
83,29404,17,17,0,0,1,learning,"2022-05-05 07:39:50","2022-05-05 07:39:50"
84,29374,17,17,0,0,1,learning,"2022-05-05 07:40:08","2022-05-05 07:40:08"
85,29298,17,17,0,0,1,learning,"2022-05-05 07:45:50","2022-05-05 07:45:50"
86,29432,17,17,0,0,1,learning,"2022-05-05 07:49:30","2022-05-05 07:49:30"
87,29436,17,17,0,0,1,learning,"2022-05-05 07:50:32","2022-05-05 07:50:32"
88,29437,17,17,0,0,1,learning,"2022-05-05 07:51:01","2022-05-05 07:51:01"
89,29435,17,17,0,0,1,learning,"2022-05-05 07:52:16","2022-05-05 07:52:16"
90,29441,17,17,0,0,1,learning,"2022-05-05 07:52:25","2022-05-05 07:52:25"
91,29355,17,17,0,0,1,learning,"2022-05-05 07:55:03","2022-05-05 07:55:03"
92,29402,17,16,0,0,1,learning,"2022-05-05 08:01:21","2022-05-05 08:01:21"
93,29440,17,17,0,0,1,learning,"2022-05-05 08:02:55","2022-05-05 08:02:55"
94,29440,17,16,0,0,1,learning,"2022-05-05 08:03:32","2022-05-05 08:03:32"
95,29419,17,17,0,0,1,learning,"2022-05-05 08:11:40","2022-05-05 08:11:40"
96,29417,17,16,0,0,1,learning,"2022-05-05 08:15:52","2022-05-05 08:15:52"
98,29377,17,16,0,0,1,learning,"2022-05-05 08:21:09","2022-05-05 08:21:09"
99,29377,17,16,0,0,1,learning,"2022-05-05 08:21:59","2022-05-05 08:21:59"
100,29377,17,16,0,0,1,learning,"2022-05-05 08:21:59","2022-05-05 08:21:59"
101,29406,17,16,0,0,1,learning,"2022-05-05 08:24:27","2022-05-05 08:24:27"
102,29419,17,17,0,0,1,learning,"2022-05-05 08:40:15","2022-05-05 08:40:15"
104,29308,17,16,0,0,1,learning,"2022-05-05 08:53:04","2022-05-05 08:53:04"
105,29432,17,17,0,0,1,learning,"2022-05-05 08:59:04","2022-05-05 08:59:04"
106,29280,17,17,0,0,1,learning,"2022-05-05 09:16:07","2022-05-05 09:16:07"
107,29372,17,16,0,0,1,learning,"2022-05-05 10:18:33","2022-05-05 10:18:33"
108,29372,17,17,0,0,1,learning,"2022-05-05 10:19:45","2022-05-05 10:19:45"
109,29372,17,16,0,0,1,learning,"2022-05-05 10:20:38","2022-05-05 10:20:38"
110,29372,17,17,0,0,1,learning,"2022-05-05 10:20:48","2022-05-05 10:20:48"
111,29235,17,17,0,0,1,learning,"2022-05-05 10:24:55","2022-05-05 10:24:55"
112,29272,18,67,0,0,1,learning,"2022-05-05 10:38:44","2022-05-05 10:38:44"
113,29272,18,67,0,0,1,learning,"2022-05-05 10:38:44","2022-05-05 10:38:44"
114,29354,17,16,0,0,1,learning,"2022-05-05 10:44:50","2022-05-05 10:44:50"
115,29381,17,16,0,0,1,learning,"2022-05-05 18:07:45","2022-05-05 18:07:45"
116,29345,17,16,0,0,1,learning,"2022-05-05 18:10:16","2022-05-05 18:10:16"
117,29345,17,17,0,0,1,learning,"2022-05-05 18:10:33","2022-05-05 18:10:33"
118,29270,17,17,0,0,1,learning,"2022-05-05 18:26:37","2022-05-05 18:26:37"
119,29270,17,17,0,0,1,learning,"2022-05-05 18:27:47","2022-05-05 18:27:47"
120,29270,17,16,0,0,1,learning,"2022-05-05 18:28:07","2022-05-05 18:28:07"
